album_name,artist_id,album_rank,album_genre
"('I Don't Care (with Justin Bieber) ',",60,100,pop
" ('Memories ',",41,102,pop
('All the Time',26,30,pop
('Call You Mine',24,58,pop
 ('Someone You Loved (Future Humans Remix)',69,41,pop
 ('Beautiful People (feat. Khalid) [Jack Wins Remix]',56,26,pop
 ('Never Really Over (R3HAB Remix)',3,134,pop
 ( 'If I Can't Have You (Gryffin Remix)',2,17,pop
 ( 'Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix]',9,7,pop
 ( 'Hate Me (R3HAB Remix)',75,88,pop
 ( 'Body On My',21,147,pop
 ( 'SOS (Laidback Luke Tribute Remix)',58,4,pop
 ( 'Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes]',34,145,pop
 ( 'South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix]',23,140,pop
 ( 'All My Friends (Eden Prince Remix)',53,53,pop
 ( 'Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix]',30,66,pop
 ( 'Dancing With A Stranger (With Normani) [Cheat Codes Remix]',38,46,pop
 ( 'Let It Be Me (Remixes)',29,7,pop
 ( 'Heaven (David Guetta & MORTEN Remix)',13,14,pop
 ( 'All Around The World (La La La) [Marnik Remix]',24,55,pop
 ( 'Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix]',74,67,pop
 ( 'Slow Dance (feat. Ava Max) [Sam Feldt Remix]',66,126,pop
 ( 'Hold Me While You Wait (Steve Void Remix)',27,51,pop
 ( 'One Thing Right (Remixes)',53,4,pop
 ( 'Close To Me (Remixes)',3,46,pop
 ( 'So Am I (Toby Green Remix)',35,144,pop
 ( 'When You Leave (Breathe Carolina Remix)',3,105,pop
 ( 'Mother (Fedde Le Grand Remix)',35,71,pop
 ( 'Signs (Eden Prince Remix)',60,135,pop
 ( 'Ruin My Life (Remixes)',48,82,pop
 ( 'Torn (KREAM Remix)',61,54,pop
 ( 'Quite Miss Home (Steve Void Remix)',30,88,pop
 ( 'Love Me Less (Remixes)',81,62,pop
 ( 'Happier (Remixes Pt. 2)',19,18,pop
 ( 'Side Effects - Remixes',8,11,pop
 ( 'Paradise (Bazzi vs. Black Caviar Remix)',22,74,pop
 ( 'White Mercedes (EDX's Miami Sunset Remix)',77,24,pop
 ( 'Higher Love',11,74,pop
